 esp1   esp2   esp3  PSI:0.909091 esp1   esp2   esp3  PSI:1 esp1   esp2   esp3  PSI:1.11111 t 
0.143627  -0.16004  -0.438517  0.111111  -0.204962  -0.333764  0.182347  -0.144846  -0.380288  60.001
0.180187  -0.188197  -0.468716  0.137988  -0.215635  -0.359849  0.221862  -0.156471  -0.396997  120.001
0.192965  -0.187991  -0.488405  0.133687  -0.214784  -0.363197  0.181502  -0.161603  -0.379666  180.001
0.203987  -0.193691  -0.492092  0.167096  -0.235711  -0.370488  0.185675  -0.189735  -0.356957  240.001
0.21143  -0.217116  -0.469351  0.164689  -0.233925  -0.367131  0.189383  -0.193145  -0.36154  300.001
0.187941  -0.192945  -0.476059  0.175186  -0.236086  -0.372494  0.177783  -0.182218  -0.36752  360.001
0.185434  -0.193528  -0.473867  0.178866  -0.232698  -0.379751  0.178713  -0.185353  -0.369789  420.001
0.186805  -0.201429  -0.467422  0.178912  -0.234612  -0.380774  0.16795  -0.183371  -0.365061  480.001
0.186487  -0.201  -0.46817  0.173481  -0.230877  -0.380041  0.175527  -0.186  -0.370922  540.001
0.174101  -0.193495  -0.464351  0.171208  -0.228779  -0.381109  0.177101  -0.190647  -0.368215  600.001
0.176081  -0.198042  -0.459548  0.174609  -0.229473  -0.383927  0.182414  -0.19149  -0.370337  660.001
0.173207  -0.195374  -0.460604  0.176793  -0.231456  -0.380741  0.18082  -0.187499  -0.374562  720.001
0.169244  -0.200366  -0.453759  0.174655  -0.224829  -0.386621  0.18111  -0.191197  -0.372735  780.001
0.168721  -0.204928  -0.44948  0.168186  -0.219515  -0.38368  0.182212  -0.191713  -0.374623  840.001
0.169445  -0.206788  -0.448746  0.163563  -0.215601  -0.384739  0.184281  -0.197863  -0.370133  900.001
0.166626  -0.209011  -0.444452  0.159682  -0.208333  -0.387889  0.178015  -0.194107  -0.368473  960.001
0.166903  -0.212615  -0.441416  0.160671  -0.213914  -0.382989  0.17647  -0.192386  -0.36767  1020
0.15955  -0.203565  -0.444115  0.158744  -0.211692  -0.382395  0.17081  -0.186033  -0.368929  1080
0.154325  -0.204617  -0.437507  0.160127  -0.214009  -0.381951  0.17154  -0.186207  -0.369705  1140
0.151937  -0.200702  -0.438463  0.163366  -0.217376  -0.379981  0.165391  -0.184683  -0.366197  1200
0.152838  -0.196617  -0.442614  0.163332  -0.21886  -0.378203  0.164945  -0.185011  -0.366221  1260
0.153324  -0.201554  -0.438816  0.162518  -0.21709  -0.378675  0.163477  -0.185093  -0.363934  1320
0.150631  -0.200017  -0.438178  0.162518  -0.214941  -0.381972  0.163903  -0.182517  -0.367446  1380
0.15122  -0.198834  -0.438873  0.162095  -0.216779  -0.379823  0.165525  -0.18487  -0.366463  1440
0.155053  -0.20166  -0.438082  0.160818  -0.21583  -0.379994  0.163971  -0.186411  -0.36393  1500
0.155393  -0.203217  -0.437137  0.162457  -0.215241  -0.381359  0.163843  -0.18839  -0.361873  1560
0.155811  -0.205612  -0.435263  0.161171  -0.213271  -0.382945  0.167397  -0.189789  -0.362972  1620
0.154261  -0.208165  -0.431887  0.158483  -0.210515  -0.383183  0.16363  -0.189232  -0.360598  1680
0.153751  -0.20849  -0.431522  0.160073  -0.209977  -0.385883  0.166619  -0.190356  -0.361392  1740
0.153727  -0.206588  -0.433862  0.157078  -0.205253  -0.388652  0.168141  -0.189349  -0.363331  1800
0.155196  -0.208591  -0.431872  0.158581  -0.204454  -0.391022  0.168356  -0.19025  -0.362318  1860
0.156301  -0.209067  -0.432503  0.158748  -0.205041  -0.390577  0.170242  -0.190259  -0.362479  1920
0.158365  -0.209836  -0.433938  0.158971  -0.202749  -0.393621  0.170731  -0.191708  -0.361691  1980
0.158015  -0.210026  -0.434088  0.157671  -0.200168  -0.395447  0.172212  -0.192674  -0.3624  2040
0.157828  -0.210181  -0.433486  0.157017  -0.203149  -0.391856  0.173995  -0.193501  -0.363148  2100
0.158411  -0.210919  -0.433796  0.158834  -0.204089  -0.392341  0.173468  -0.191932  -0.364752  2160
0.158462  -0.21275  -0.431674  0.159285  -0.203328  -0.394058  0.173461  -0.192916  -0.363204  2220
0.159219  -0.212977  -0.432477  0.160267  -0.204833  -0.393221  0.17586  -0.194808  -0.363571  2280
0.159267  -0.2127  -0.433172  0.162812  -0.206948  -0.393128  0.175076  -0.193031  -0.365183  2340
0.158636  -0.212544  -0.433508  0.163286  -0.206252  -0.394526  0.173826  -0.192576  -0.364712  2400
0.160708  -0.213554  -0.434101  0.165973  -0.208669  -0.394455  0.172338  -0.192731  -0.363522  2460
0.160848  -0.213113  -0.434921  0.164687  -0.208392  -0.393346  0.171355  -0.191829  -0.36365  2520
0.160891  -0.21381  -0.434266  0.165423  -0.209106  -0.392846  0.170783  -0.189893  -0.36529  2580
0.16094  -0.213529  -0.434808  0.162324  -0.20899  -0.390276  0.170705  -0.190941  -0.364235  2640
0.160355  -0.213118  -0.434611  0.16133  -0.20878  -0.389138  0.170459  -0.191679  -0.363829  2700
0.160741  -0.213204  -0.434584  0.161507  -0.208174  -0.389935  0.171622  -0.190678  -0.365945  2760
0.161898  -0.213113  -0.435826  0.162364  -0.209584  -0.38925  0.171548  -0.191261  -0.365288  2820
0.160787  -0.211089  -0.437073  0.161529  -0.210209  -0.388098  0.172646  -0.191401  -0.366559  2880
0.161261  -0.212789  -0.436062  0.160703  -0.209702  -0.387696  0.171103  -0.191962  -0.364812  2940
0.160495  -0.211629  -0.437062  0.160556  -0.209685  -0.387829  0.170791  -0.191131  -0.365154  3000
0.160043  -0.211548  -0.436963  0.160419  -0.21027  -0.387282  0.170011  -0.191117  -0.364647  3060
0.159864  -0.21266  -0.435757  0.161784  -0.211881  -0.386741  0.170387  -0.191595  -0.364458  3120
0.162643  -0.214484  -0.436303  0.162941  -0.212816  -0.386767  0.169395  -0.191554  -0.363797  3180
0.163648  -0.21375  -0.437878  0.161183  -0.211439  -0.386608  0.169026  -0.191269  -0.363988  3240
0.16403  -0.213417  -0.43854  0.160862  -0.210628  -0.386638  0.169117  -0.191756  -0.363516  3300
0.164529  -0.214389  -0.438183  0.161067  -0.212008  -0.38575  0.170576  -0.193382  -0.363305  3360
0.166333  -0.214073  -0.440331  0.161654  -0.212116  -0.386054  0.170086  -0.193562  -0.362637  3420
0.166327  -0.213463  -0.441104  0.162055  -0.212223  -0.386667  0.16978  -0.193441  -0.362333  3480
0.166325  -0.213729  -0.440942  0.161413  -0.212991  -0.385598  0.167723  -0.192985  -0.360845  3540
0.165922  -0.213712  -0.440959  0.161395  -0.211854  -0.38687  0.167211  -0.192444  -0.360654  3600
0.166928  -0.21433  -0.441007  0.162854  -0.213426  -0.386847  0.165506  -0.192347  -0.359507  3660
0.167058  -0.213987  -0.441667  0.163507  -0.213225  -0.387537  0.165995  -0.19241  -0.360145  3720
0.166781  -0.213325  -0.441949  0.161622  -0.211949  -0.387052  0.16591  -0.191839  -0.360662  3780
0.166956  -0.214057  -0.44157  0.160132  -0.210659  -0.38707  0.165875  -0.191546  -0.360772  3840
0.165733  -0.213619  -0.440969  0.158999  -0.209699  -0.387113  0.16556  -0.191673  -0.360395  3900
0.163231  -0.211909  -0.440412  0.159514  -0.210742  -0.386398  0.165876  -0.192637  -0.359002  3960
0.163749  -0.213193  -0.439823  0.15873  -0.210366  -0.386207  0.164592  -0.192272  -0.358344  4020
0.162936  -0.213057  -0.439219  0.159381  -0.209903  -0.387332  0.164393  -0.192927  -0.357294  4080
0.162596  -0.21292  -0.439195  0.159863  -0.210266  -0.387572  0.165051  -0.193529  -0.357436  4140
0.161714  -0.212629  -0.438589  0.160277  -0.210022  -0.388122  0.165363  -0.194113  -0.356977  4200
0.161017  -0.211991  -0.438681  0.158928  -0.208001  -0.38891  0.164866  -0.193639  -0.356947  4260
